Date,AAPL,AAPL/FB,AMZN,AMZN/FB,CMG,CVX,CVX/XOM,FB,KO,NKE,PEP,PEP/KO,SBUX,T,VZ,VZ/T,XOM,ln(AAPL),ln(AMZN),ln(CMG),ln(FB),ln(NKE)
2013-11-11,71.028263012709,1.5374082903183766,354.38,7.67056277056277,536.44,110.95851330963,1.261278063007319,46.2,37.211838343894,37.709278840544,81.274001546626,2.18408993384123,39.420988444769,31.870124031673,48.8825532105782,1.5338049253274948,87.973077915164,4.2630778684337685,5.870369783729923,6.284954719842739,3.832979798087693,3.629906187261999
2013-11-12,71.159906307777,1.5267089960904743,349.53,7.4990345419437885,535.42,109.96879416216998,1.2539396295235645,46.61,37.221171636682,37.567551379894,81.454716119989,2.1883974237853976,39.362579769458996,31.997495352382003,49.07823997283032,1.53381505122015,87.698635223733,4.264929546155073,5.8565893948999594,6.283051485636975,3.8418151103846494,3.626140682585512
2013-11-13,71.245296553226,1.462642097171546,356.22,7.313077396838432,537.58,110.05127075779,1.2559643309973783,48.71,37.445170663582,38.046492453815,81.74956621337,2.1831804946980005,39.777642327504,31.906515837590003,48.91190622491602,1.5329754735329473,87.622926895063,4.266128803681731,5.875548517510639,6.287077586135962,3.8858843478184513,3.6388088975044828
2013-11-14,72.27517954561499,1.4753047467976115,367.4,7.499489691773831,543.92,110.48198186826001,1.252358551814335,48.99,37.52917029867,38.432577605241,82.168063120106,2.189445235964035,39.621383482122,31.988397400903,49.185867692068975,1.537615876020113,88.219129983343,4.280480772100154,5.906451172781026,6.298802177218204,3.8916161956504833,3.6489054750633865
2013-11-15,71.841522994608,1.4658543765478067,369.17,7.532544378698225,546.97,110.94401759036,1.2305352293516765,49.01,37.538503591458,38.716032526541,81.82565656005,2.1797793926625695,39.645798926713,32.234042090841996,49.2250050445194,1.527112389621924,90.159155905526,4.274462623582817,5.91125724255579,6.304393956311014,3.8920243589214563,3.6562537914182434
2013-11-18,70.970925652383,1.5485691829016583,366.18,7.989962906393193,537.51,111.40605331246,1.23332968465727,45.83,37.49183712752,38.403254682348,81.663964573356,2.178179860741273,39.328398147031,32.388707265988,49.66530025958665,1.5334140955894564,90.329499645035,4.262270295320413,5.903125015784458,6.286947364479916,3.8249388985210326,3.648142213354792
2013-11-19,71.096958370426,1.5335840890946073,364.94,7.871872303710095,538.16,112.79216047875,1.2490672783602421,46.36,37.463837249157,38.026943838553,81.121820853268,2.165336676906832,39.025646634104,32.497882683739,49.68486893581186,1.528864800803553,90.301109021783,4.264044556293925,5.899732956508389,6.28815591371735,3.836437018471551,3.6382949568533163
2013-11-20,70.47432116402601,1.5178617524020248,362.57,7.808959724316175,531.66,112.73671619209999,1.2582109468642952,46.43,37.389170906857,38.04160529999999,80.96964015991,2.1655906829712706,38.913335588986,32.206748236403996,49.31306408753285,1.531140732543536,89.600806981581,4.255248404659015,5.893217559100934,6.276004187287266,3.8379458020318302,3.6386804371022383
2013-11-21,71.313991910943,1.527066207943105,368.92,7.8997858672376875,539.22,114.08586050062999,1.2731337583873903,46.7,37.734502739995996,38.163784145388,81.435693533319,2.1581228748246555,39.811823949931004,32.115768721612,49.29349541130764,1.5348689249382983,89.610270522664,4.2670925481528785,5.910579818367518,6.290123650898337,3.8437441646748516,3.6418870068990734
2013-11-22,71.131169205943,1.5386365824344148,372.31,8.053428509625785,537.48,114.61258122382,1.274703867760526,46.23,37.734502739995996,38.544982142998,81.549829053338,2.161147574018532,39.723928349404,32.224944139362,49.136946001505954,1.5248108977010248,89.913103837347,4.264525626202666,5.919726840577038,6.286891550007209,3.833628938000134,3.651825926634377
2013-11-25,71.670331973683,1.5990703251602634,376.64,8.403391343150378,532.31,114.34460050501,1.2706535151731964,44.82,37.678502983270995,38.672048142201,81.197911199947,2.155019567417483,39.41141065864,32.179454381965996,48.931474901141215,1.5205812479083978,89.988812166017,4.272076881970586,5.931289824071912,6.277226026400897,3.802654468372781,3.6551170688455663
